route_id,trip_id,service_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,drt_advance_book_min,bikes_allowed,peak_offpeak,boarding_type
100479,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday_100479_1001,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,,Lynnwood City Center,1,,C15:N23,1.0,0.0,1.0,0,0
100479,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday_100479_1002,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,,Lynnwood City Center,1,,C15:N23,1.0,0.0,1.0,0,0
100479,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday_100479_1003,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,,Lynnwood City Center,1,,S07:N23,1.0,0.0,1.0,0,0
100479,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday_100479_1004,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,,Lynnwood City Center,1,,C15:N23,1.0,0.0,1.0,0,0
100479,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday_100479_1005,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,,Lynnwood City Center,1,,C15:N23,1.0,0.0,1.0,0,0
100479,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday_100479_1006,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,,Lynnwood City Center,1,,S07:N23,1.0,0.0,1.0,0,0
100479,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday_100479_1007,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,,Lynnwood City Center,1,,C37:N23,1.0,0.0,1.0,0,0
100479,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday_100479_1008,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,,Lynnwood City Center,1,,C15:N23,1.0,0.0,1.0,0,0
100479,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday_100479_1009,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,,Lynnwood City Center,1,,S07:N23,1.0,0.0,1.0,0,0
100479,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday_100479_1010,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,,Lynnwood City Center,1,,C15:N23,1.0,0.0,1.0,0,0
100479,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday_100479_1011,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,,Lynnwood City Center,1,,S07:N23,1.0,0.0,1.0,0,0
100479,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday_100479_1012,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,,Lynnwood City Center,1,,C15:N23,1.0,0.0,1.0,0,0
100479,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday_100479_1013,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,,Lynnwood City Center,1,,S07:N23,1.0,0.0,1.0,0,0
100479,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday_100479_1014,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,,Lynnwood City Center,1,,S07:N23,1.0,0.0,1.0,0,0
100479,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday_100479_1015,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,,Lynnwood City Center,1,,S07:N23,1.0,0.0,1.0,0,0
100479,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday_100479_1016,LLR_2026-01-19_Dec16_Jan2025_Pinehurst1900_SB_Weekday,,Lynnwood City Center,1,,S07:N23,1.0,0.0,1.0,0,0
